url,title,year,location,date,sale_number,artist,title,medium,size,signage,provenance,condition,price,url,auctionUrl
https://www.deutscherandhackett.com/auction/lot/peewee-2002,"PEEWEE, 2002",2025,Melbourne,26 March,81,MAKINTI NAPANANGKA,"PEEWEE, 2002",synthetic polymer paint on Belgian linen,153.0 x 122.0 cm,"bears inscription verso: artist’s name, size and Papunya Tula Artists cat. MN0208047","Papunya Tula Artists, Alice Springs, Northern TerritoryGallery Gabrielle Pizzi, MelbournePrivate collection, VictoriaLawson~Menzies, Sydney, 14 November 2007, lot 56Private collection, MelbourneLauraine Diggins Fine Art, MelbournePrivate collection, Sydney",Not specified,"$42,955 (",https://www.deutscherandhackett.com/auction/lot/peewee-2002,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/womens-travelling-bush-tucker-ceremony-1972,"WOMEN'S TRAVELLING BUSH TUCKER CEREMONY, 1972",2025,Melbourne,26 March,81,LONG JACK PHILLIPUS TJAKAMARRA,"WOMEN'S TRAVELLING BUSH TUCKER CEREMONY, 1972",synthetic polymer paint on composition board,51.0 x 46.0 cm,No signage found,"Private collection, purchased directly from the artist at Papunya in 1972Sotheby's, Melbourne, 28 June 1999, lot 79 (as ‘Untitled (Women's Ceremony)’)Private collection, TasmaniaSotheby's, Melbourne, 24 July 2007, lot 249Private collection, SydneyDeutscher and Hackett, Melbourne, 18 May 2011, lot 155Private collection, Melbourne",Not specified,"$58,295 (",https://www.deutscherandhackett.com/auction/lot/womens-travelling-bush-tucker-ceremony-1972,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/untitled-1987-2,"UNTITLED, 1987",2025,Melbourne,26 March,81,MICK NAMARARI TJAPALTJARRI,"UNTITLED, 1987",synthetic polymer paint on linen,121.5 x 182.5 cm,bears inscription verso: Papunya Tula Artists cat. MN871234,"Papunya Tula Artists, Alice Springs, Northern TerritoryGallery Gabrielle Pizzi, MelbournePrivate collection, Melbourne, acquired from the above in 1987",Not specified,"$27,000 (",https://www.deutscherandhackett.com/auction/lot/untitled-1987-2,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/anookitja-bush-plum-2019-0,"ANOOKITJA (BUSH PLUM), 2019",2025,Melbourne,26 March,81,ANGELINA PWERLE (NGALE),"ANOOKITJA (BUSH PLUM), 2019",synthetic polymer paint on linen,151.5 x 151.5 cm,"bears inscription verso: artist's name, title, Artlore (Marc Gooch) cat. 1–419 and Niagara Galleries cat. 21403","Painted at Rocket Range, Utopia, via Alice Springs, Northern TerritoryNiagara Galleries, Melbourne (label attached verso)Private collection, Sydney",Not specified,"$67,500 (",https://www.deutscherandhackett.com/auction/lot/anookitja-bush-plum-2019-0,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/life-cycle-iii-1994,"LIFE CYCLE III, 1994",2025,Melbourne,26 March,81,EMILY KAM KNGWARREYE,"LIFE CYCLE III, 1994",synthetic polymer paint on linen,121.0 x 91.5 cm,signed verso: Emlly [sic]bears inscription verso: artist’s name and Delmore Gallery cat. 94G016,"Commissioned by Delmore Gallery, via Alice Springs, Northern Territory in 1994The Thomas Vroom Collection, The NetherlandsLeonard Joel, Melbourne, 26 February 2017, lot 85Private collection, Sydney",Not specified,"$104,318 (",https://www.deutscherandhackett.com/auction/lot/life-cycle-iii-1994,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/kururrungka-2001,"KURURRUNGKA, 2001",2025,Melbourne,26 March,81,BOXER MILNER TJAMPITJIN,"KURURRUNGKA, 2001",synthetic polymer paint on linen,150.0 x 100.0 cm,"bears inscription verso: artist's name, size and Warlayirti Artists cat. 43/01","Warlayirti Artists, Balgo Hills, Western AustraliaPalya Art, DarwinPrivate collection, Melbourne, acquired from the above in 2001",Not specified,"$24,545 (",https://www.deutscherandhackett.com/auction/lot/kururrungka-2001,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/moorun-near-lake-mackay-sandhills-during-flooded-summer-rains-1993,"MOORUN NEAR LAKE MACKAY: SANDHILLS DURING FLOODED SUMMER RAINS, 1993",2025,Melbourne,26 March,81,MURTIYARRU SUNFLY TJAMPITJIN,"MOORUN NEAR LAKE MACKAY: SANDHILLS DURING FLOODED SUMMER RAINS, 1993",synthetic polymer paint on canvas,89.5 x 59.5 cm,"bears inscription verso: artist's name, size and Warlayirti Artists cat. 426/93","Warlayirti Artists, Balgo Hills, Western AustraliaJames and Wendy Cowan Collection, New South WalesDeutscher and Hackett, Melbourne, 24 March 2010, lot 71Private collection, MelbourneThis painting is accompanied by a certificate of authenticity from Warlayirti Artists which states:'Sunfly has painted a story about his country. He has shown the sand hills during the flooding summer rains. These seasonal rains bring a flush of new grass which attracts the marla (wallaby) which is hunted for food.'",Not specified,"$34,364 (",https://www.deutscherandhackett.com/auction/lot/moorun-near-lake-mackay-sandhills-during-flooded-summer-rains-1993,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/parwalla-2005-0,"PARWALLA, 2005",2025,Melbourne,26 March,81,ELIZABETH NYUMI NUNGURRAYI,"PARWALLA, 2005",synthetic polymer paint on linen,150.0 x 100.0 cm,"bears inscription verso: artist's name, size, Warlayirti Artists cat. 941/05 and Art Mob cat. 3518/06","Warlayirti Artists, Balgo Hills, Western AustraliaArt Mob, HobartPrivate collection, MelbourneBonham’s, Melbourne, 22 July 2020, lot 31Private collection, Melbourne",Not specified,"$11,045 (",https://www.deutscherandhackett.com/auction/lot/parwalla-2005-0,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/country-near-olgas-2006,"COUNTRY NEAR THE OLGAS, 2006",2025,Melbourne,26 March,81,BILL WHISKEY TJAPALTJARRI,"COUNTRY NEAR THE OLGAS, 2006",synthetic polymer paint on linen,150.0 x 150.0 cm,"bears inscription verso: artist’s name, title, size and Watiyawanu Artists of Amunturrungu cat. 77-06194","Watiyawanu Artists of Amunturrungu, Mount Liebig (Yamunturrngu), Northern TerritoryScott Livesey Galleries, MelbournePrivate collection, MelbourneSotheby's, Melbourne, 5 June 2012, lot 73Private collection, Melbourne",Not specified,"$51,545 (",https://www.deutscherandhackett.com/auction/lot/country-near-olgas-2006,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/australia-ii-peace-2012,"AUSTRALIA II: PEACE, 2012",2025,Melbourne,26 March,81,BROOK ANDREW,"AUSTRALIA II: PEACE, 2012",mixed media on Belgian linen,200.0 x 300.0 cm,No signage found,"Collection of the artist, MelbourneArtevent, National Gallery of Victoria, Melbourne, 16 October 2012, lot 5, donated by the abovePrivate collection, Melbourne",Not specified,"$36,818 (",https://www.deutscherandhackett.com/auction/lot/australia-ii-peace-2012,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
